Reference, Value, Footprint, Datasheet,,,
X1,NX3225GD-8MHZ,CRYSTAL:3225-2,,,,
C1,1u,EIA:0402,,,,
C10,0.1u,EIA:0402,,,,
C11,0.1u,EIA:0402,,,,
C12,0.1u,EIA:0402,,,,
C13,1u,EIA:0402,,,,
C14,1u,EIA:0402,,,,
C15,10u,EIA:0603,,,,
C16,0.1u,EIA:0402,,,,
C17,0.01u,EIA:0402,,,,
C18,0.1u,EIA:0402,,,,
C19,0.1u,EIA:0402,,,,
C2,10u,EIA:0603,,,,
C20,0.1u,EIA:0402,,,,
C21,0.1u,EIA:0402,,,,
C22,10u,EIA:0603,,,,
C23,10u,EIA:0603,,,,
C24,0.1u,EIA:0402,,,,
C3,0.1u,EIA:0402,,,,
C4,1u,EIA:0402,,,,
C5,0.1u,EIA:0402,,,,
C6,15p,EIA:0402,,,,
C7,15p,EIA:0402,,,,
C8,0.1u,EIA:0402,,,,
C9,0.1u,EIA:0402,,,,
D1,SML-D12M8WT86,DIODE:0603,,,,
D2,SML-D12M8WT86,DIODE:0603,,,,
D3,BAS70T-05T-7-F,DIODE:SOT523HY,,,,
J1,CONN_11,CONN_2.54MM:1x11P,,,,
J2,CONN_11,CONN_2.54MM:1x11P,,,,
J3,CONN_4,CONN_2.54MM:1x4P,,,,
J4,CONN_6,CONN_2.54MM:1x6DP,,,,
J5,53047,CONN_1.27MM:53047,,,,
R1,10k,EIA:0402,,,,
R10,4.7,EIA:0402,,,,
R11,4.7,EIA:0402,,,,
R12,1k,EIA:0402,,,,
R13,10k,EIA:0402,,,,
R2,10k,EIA:0402,,,,
R3,3.3k,EIA:0402,,,,
R4,3.3k,EIA:0402,,,,
R5,3.3k,EIA:0402,,,,
R6,3.3k,EIA:0402,,,,
R7,10k,EIA:0402,,,,
RS1,0.01,EIA:0805,PMR10EZPFU10L0,,,ERJ-6BWFR010V
U1,LT1761ES5-3.3,TI:SOT-25,,,,
U10,LT1761ES5-xx,TI:SOT-25,,,,
U11,LT1761ES5-xx,TI:SOT-25,,,,
U12,M25XX_ROM2,TI:SO8,,,,
U2,ATMEGA644PA-AUR,QFP_QFN:TQFP_44,,,,
U3,REF3320AIDCKT,TI:SC-70,,,,
U4,RX8900CE,CRYSTAL:RX8900CE,,,,
U5,MS561101BA03-00,LGA:8_MS,,,,
U6,MPU-9250,QFP_QFN:QFN24,,,,
U7,microSD_hinge 0472192001,SOCKET:microSD_hinge,,,,
U8,M25XX_ROM1,TI:SO8,,,,
U9,INA226AQDGSRQ1,TI:MSOP10,,,,
